trial_id,route,condition,success,collision,missed_hazard,completion_time_s
1,R1,full,1,0,0,45.2
1,R1,no_vision,0,1,0,32.5
1,R1,no_ultrasonic,1,0,1,50.1
1,R1,no_fusion,0,1,1,38.4
2,R1,full,1,0,0,44.8
2,R1,no_vision,0,1,0,30.1
2,R1,no_ultrasonic,0,1,1,48.6
2,R1,no_fusion,0,1,0,35.2
3,R2,full,1,0,0,62.4
3,R2,no_vision,0,1,0,41.2
3,R2,no_ultrasonic,1,0,1,68.9
3,R2,no_fusion,0,1,1,51.0
4,R2,full,1,0,0,61.9
4,R2,no_vision,0,1,0,39.8
4,R2,no_ultrasonic,0,1,0,65.3
4,R2,no_fusion,0,1,1,49.8
