sensor_id,angle_deg,true_distance_cm,measured_distance_cm,relative_amplitude,signal_valid
U1,-60,100,105.4,0.35,1
U1,-45,100,102.1,0.65,1
U1,-30,100,101.2,0.85,1
U1,-15,100,100.5,0.95,1
U1,0,100,100.3,1.00,1
U1,15,100,100.6,0.96,1
U1,30,100,101.4,0.84,1
U1,45,100,102.8,0.62,1
U1,60,100,106.1,0.32,1
U2,-60,100,105.8,0.33,1
U2,-45,100,102.5,0.63,1
U2,-30,100,101.5,0.83,1
U2,-15,100,100.7,0.94,1
U2,0,100,100.4,1.00,1
U2,15,100,100.8,0.95,1
U2,30,100,101.6,0.82,1
U2,45,100,103.1,0.60,1
U2,60,100,106.5,0.30,1
U3,-60,100,105.2,0.36,1
U3,-45,100,101.9,0.66,1
U3,-30,100,101.0,0.86,1
U3,-15,100,100.4,0.96,1
U3,0,100,100.1,1.00,1
U3,15,100,100.5,0.97,1
U3,30,100,101.2,0.85,1
U3,45,100,102.6,0.64,1
U3,60,100,105.9,0.34,1
U4,-60,100,105.5,0.34,1
U4,-45,100,102.2,0.64,1
U4,-30,100,101.3,0.84,1
U4,-15,100,100.6,0.95,1
U4,0,100,100.4,1.00,1
U4,15,100,100.7,0.96,1
U4,30,100,101.5,0.83,1
U4,45,100,102.9,0.61,1
U4,60,100,106.2,0.31,1
U5,-60,100,105.3,0.35,1
U5,-45,100,102.0,0.65,1
U5,-30,100,101.1,0.85,1
U5,-15,100,100.5,0.96,1
U5,0,100,100.3,1.00,1
U5,15,100,100.6,0.96,1
U5,30,100,101.3,0.84,1
U5,45,100,102.7,0.63,1
U5,60,100,106.0,0.33,1
