sensor_id,true_distance_cm,measured_distance_cm,trial
U1,40,40.5,1
U1,40,40.8,2
U1,60,60.2,1
U1,60,60.6,2
U1,80,79.9,1
U1,80,80.4,2
U1,100,100.3,1
U1,100,101.1,2
U1,150,149.5,1
U1,150,150.8,2
U1,200,199.2,1
U1,200,201.0,2
U1,250,248.9,1
U1,250,251.4,2
U1,300,298.5,1
U1,300,302.1,2
U2,40,39.8,1
U2,40,40.3,2
U2,60,59.7,1
U2,60,60.4,2
U2,80,80.1,1
U2,80,79.6,2
U2,100,99.9,1
U2,100,100.5,2
U2,150,150.2,1
U2,150,149.7,2
U2,200,200.4,1
U2,200,199.5,2
U2,250,249.2,1
U2,250,250.8,2
U2,300,301.0,1
U2,300,299.4,2
U3,40,40.1,1
U3,40,39.9,2
U3,60,60.5,1
U3,60,59.8,2
U3,80,80.2,1
U3,80,80.7,2
U3,100,100.1,1
U3,100,100.9,2
U3,150,149.8,1
U3,150,150.4,2
U3,200,201.2,1
U3,200,198.9,2
U3,250,250.3,1
U3,250,249.1,2
U3,300,298.8,1
U3,300,301.5,2
U4,40,40.4,1
U4,40,39.6,2
U4,60,60.1,1
U4,60,60.7,2
U4,80,79.8,1
U4,80,80.3,2
U4,100,100.4,1
U4,100,101.0,2
U4,150,150.6,1
U4,150,149.2,2
U4,200,199.8,1
U4,200,200.7,2
U4,250,251.1,1
U4,250,248.6,2
U4,300,300.2,1
U4,300,299.1,2
U5,40,39.9,1
U5,40,40.2,2
U5,60,60.3,1
U5,60,59.9,2
U5,80,80.0,1
U5,80,80.5,2
U5,100,100.3,1
U5,100,100.8,2
U5,150,149.9,1
U5,150,150.5,2
U5,200,200.1,1
U5,200,199.8,2
U5,250,249.7,1
U5,250,250.4,2
U5,300,299.6,1
U5,300,300.8,2
