timestamp,sensor_id,material_type,surface_absorption_coeff,true_distance_cm,measured_distance_cm,relative_amplitude,max_detectable_distance_cm,trial,valid
2026-09-01T08:00:00Z,U1,flat_board,0.12,100,100.3,1.00,350,1,1
2026-09-01T08:00:05Z,U1,flat_board,0.12,200,200.4,0.51,350,1,1
2026-09-01T08:00:10Z,U1,flat_board,0.12,300,300.2,0.24,350,1,1
2026-09-01T08:01:00Z,U2,concrete,0.35,100,101.8,0.78,320,1,1
2026-09-01T08:01:05Z,U2,concrete,0.35,200,202.1,0.38,320,1,1
2026-09-01T08:01:10Z,U2,concrete,0.35,300,303.5,0.16,320,1,1
2026-09-01T08:02:00Z,U3,metal,0.05,100,99.9,1.15,400,1,1
2026-09-01T08:02:05Z,U3,metal,0.05,200,199.8,0.62,400,1,1
2026-09-01T08:02:10Z,U3,metal,0.05,300,299.4,0.31,400,1,1
2026-09-01T08:03:00Z,U4,fabric,0.85,100,104.5,0.22,180,1,1
2026-09-01T08:03:05Z,U4,fabric,0.85,150,158.2,0.09,180,1,1
2026-09-01T08:03:10Z,U4,fabric,0.85,200,0.0,0.02,180,1,0
2026-09-01T08:04:00Z,U5,flat_board,0.12,100,100.1,1.01,350,2,1
2026-09-01T08:04:05Z,U5,flat_board,0.12,200,200.2,0.52,350,2,1
2026-09-01T08:04:10Z,U5,flat_board,0.12,300,299.9,0.25,350,2,1
2026-09-01T08:05:00Z,U1,concrete,0.35,100,101.6,0.79,320,2,1
2026-09-01T08:05:05Z,U1,concrete,0.35,200,201.9,0.39,320,2,1
2026-09-01T08:05:10Z,U1,concrete,0.35,300,303.1,0.17,320,2,1
2026-09-01T08:06:00Z,U2,metal,0.05,100,99.8,1.16,400,2,1
2026-09-01T08:06:05Z,U2,metal,0.05,200,199.6,0.63,400,2,1
2026-09-01T08:06:10Z,U2,metal,0.05,300,299.2,0.32,400,2,1
