sensor_id,target_material,true_distance_cm,measured_distance_cm,incidence_angle_deg,trial,signal_valid
U1,flat_board,100,101.5,0,1,1
U2,flat_board,100,102.1,0,1,1
U3,flat_board,100,101.8,0,1,1
U4,flat_board,100,102.4,0,1,1
U5,flat_board,100,101.9,0,1,1
U1,concrete,100,101.1,0,1,1
U2,concrete,100,101.5,0,1,1
U3,concrete,100,101.3,0,1,1
U4,concrete,100,101.8,0,1,1
U5,concrete,100,101.4,0,1,1
U1,metal,100,100.2,0,1,1
U2,metal,100,100.5,0,1,1
U3,metal,100,100.3,0,1,1
U4,metal,100,100.8,0,1,1
U5,metal,100,100.4,0,1,1
U1,fabric,100,108.5,0,1,1
U2,fabric,100,109.2,0,1,1
U3,fabric,100,108.8,0,1,1
U4,fabric,100,110.1,0,1,1
U5,fabric,100,109.0,0,1,1
