timestamp,sensor_id,ambient_temp_c,humidity_pct,speed_of_sound_ms,true_distance_cm,raw_measured_cm,compensated_distance_cm,error_cm,trial
2026-09-01T09:00:00Z,U1,20.0,45.0,343.46,100,101.2,100.0,0.0,1
2026-09-01T09:10:00Z,U1,22.5,47.0,345.00,100,101.8,100.1,0.1,1
2026-09-01T09:20:00Z,U1,25.0,50.0,346.50,100,102.3,100.1,0.1,1
2026-09-01T09:30:00Z,U1,27.5,52.0,348.01,100,102.9,100.0,0.0,1
2026-09-01T09:40:00Z,U1,30.0,55.0,349.50,100,103.5,100.0,0.0,1
2026-09-01T09:50:00Z,U1,32.5,58.0,350.99,100,104.1,100.2,0.2,1
2026-09-01T10:00:00Z,U1,35.0,60.0,352.48,100,104.7,100.2,0.2,1
2026-09-01T10:10:00Z,U1,37.5,62.0,353.96,100,105.4,100.1,0.1,1
2026-09-01T10:20:00Z,U1,40.0,65.0,355.44,100,106.1,100.1,0.1,1
2026-09-01T10:30:00Z,U1,42.0,68.0,356.64,100,106.7,100.0,0.0,1
2026-09-01T10:40:00Z,U2,20.0,45.0,343.46,200,202.4,200.1,0.1,2
2026-09-01T10:50:00Z,U2,25.0,50.0,346.50,200,204.6,200.2,0.2,2
2026-09-01T11:00:00Z,U2,30.0,55.0,349.50,200,207.1,200.0,0.0,2
2026-09-01T11:10:00Z,U2,35.0,60.0,352.48,200,209.5,200.3,0.3,2
2026-09-01T11:20:00Z,U2,40.0,65.0,355.44,200,212.2,200.2,0.2,2
