Trial_ID,Participant,Outcome
T_001,P01,1
T_002,P01,1
T_003,P01,1
T_004,P01,1
T_005,P01,1
T_006,P01,1
T_007,P01,1
T_008,P01,1
T_009,P01,1
T_010,P01,1
T_011,P01,1
T_012,P01,1
T_013,P01,1
T_014,P01,1
T_015,P01,1
T_016,P02,1
T_017,P02,1
T_018,P02,1
T_019,P02,1
T_020,P02,1
T_021,P02,1
T_022,P02,1
T_023,P02,1
T_024,P02,1
T_025,P02,1
T_026,P02,1
T_027,P02,1
T_028,P02,1
T_029,P02,1
T_030,P02,0
T_031,P03,1
T_032,P03,1
T_033,P03,1
T_034,P03,1
T_035,P03,1
T_036,P03,1
T_037,P03,1
T_038,P03,1
T_039,P03,1
T_040,P03,1
T_041,P03,1
T_042,P03,1
T_043,P03,0
T_044,P03,0
T_045,P04,1
T_046,P04,1
T_047,P04,1
T_048,P04,1
T_049,P04,1
T_050,P04,1
T_051,P04,1
T_052,P04,1
T_053,P04,1
T_054,P04,1
T_055,P04,1
T_056,P04,1
T_057,P04,1
T_058,P04,0
T_059,P05,1
T_060,P05,1
T_061,P05,1
T_062,P05,1
T_063,P05,1
T_064,P05,1
T_065,P05,1
T_066,P05,1
T_067,P05,1
T_068,P05,1
T_069,P05,1
T_070,P05,1
T_071,P05,1
T_072,P05,1
T_073,P06,1
T_074,P06,1
T_075,P06,1
T_076,P06,1
T_077,P06,1
T_078,P06,1
T_079,P06,1
T_080,P06,1
T_081,P06,1
T_082,P06,1
T_083,P06,1
T_084,P06,1
T_085,P06,1
T_086,P06,1
T_087,P07,1
T_088,P07,1
T_089,P07,1
T_090,P07,1
T_091,P07,1
T_092,P07,1
T_093,P07,1
T_094,P07,1
T_095,P07,1
T_096,P07,1
T_097,P07,1
T_098,P07,1
T_099,P07,1
T_100,P07,1
